Portfolio;Consolidated;;;;;;;
Valuation currency;CHF;;;;;;;
Base Currency;CHF;;;;;;;
Start Date;01.01.2024;;;;;;;
End Date;30.09.2024;;;;;;;
State / Time;Accounted;;;;;;;
;;;;;;;;
;;;;;;;;
Client No.;ISIN code;Description;Currency;Balance;"Price
(QC)";"Valuation + accr.
interest (CHF) ";"Valuation + accr.
interest (in QC)";"Weight, client position
(%) "
K00149ED;IE00B0M62X26;ISHARES EUR INFL LINK ETF;EUR;243.00 ;229.72 ;52'553.03 ;55'821.96 ;1.77 
K00149ED;LU1873127366;JPM EUR LIQUID LVNAV A €;EUR;19.84 ;10'569.06 ;197'380.84 ;209'658.44 ;6.65 
K00149ED;FR0011475078;MUF AMUNDI JAP DLY HDG €;EUR;576.00 ;213.20 ;115'611.84 ;122'803.20 ;3.90 
K00149ED;GB00B15KXV33;WISDOMT.ETC-CRUDE OIL IDX;USD;13'646.00 ;9.33 ;107'384.35 ;127'303.53 ;3.62 
K00149ED;JE00B1VS3770;WISDOMT.ETC-PHYSICAL GD $;USD;712.00 ;245.89 ;147'679.90 ;175'073.68 ;4.98 
K00149ED;IE00B5BMR087;ISHS ETF S&P500 B UCITS;USD;409.00 ;607.18 ;209'479.39 ;248'336.62 ;7.06 
K00149ED;LU1873130741;JPM USD LIQUIDITY LYNAV A;USD;5.91 ;11'309.54 ;56'390.56 ;66'850.69 ;1.90 
K00149ED;US78464A7634;SPDR TR S&P DIVIDEND ETF;USD;885.00 ;142.04 ;106'036.28 ;125'705.40 ;3.57 
K00149ED;US46090E1038;INVESCO QQQ TRUST I;USD;105.00 ;488.07 ;43'228.68 ;51'247.35 ;1.46 
K00149ED;IE00B4WXJJ64;ISHARES III EURO GOV BD;EUR;558.00 ;112.62 ;59'159.31 ;62'839.17 ;1.99 
K00149ED;XD1259254963;PETERS THEM C 022823 ORRR;USD;100.00 ;964.81 ;81'384.44 ;96'480.79 ;2.74 
K00149ED;US4642888105;ISHARES DJ US MED DEVICES;USD;580.00 ;59.22 ;28'973.23 ;34'347.60 ;0.98 
K00149ED;US4642875565;ISHARES BIOTECHNOLOGY;USD;245.00 ;145.60 ;30'090.40 ;35'672.00 ;1.01 
K00149ED;;CURRENT ACCOUNT IN CHF;CHF;2'682.57 ;100.00 ;2'682.57 ;2'682.57 ;0.09 
K00149ED;VGG7238P1146;PRIMA CAPITAL FUND D;EUR;242.25 ;385.23 ;87'856.31 ;93'321.20 ;2.96 
K00149ED;;CURRENT ACCOUNT IN USD;USD;1'516.30 ;0.84 ;1'279.04 ;1'516.30 ;0.04 
